,level_0,index,song,artist
0,515,9781,no explanation,joey bada$$
1,3903,4400,cc,migos
2,3689,5880,hard to choose one,future
3,2413,5938,burn slow,wiz khalifa
4,1946,6342,misunderstood,pnb rock
5,3048,1479,loco contigo,dj snake
6,3950,9913,moment's silence (common tongue),hozier
7,2639,5144,silk sonic intro,bruno mars
8,1846,7369,figure it out,french montana
9,1645,1933,new level,a$ap ferg
10,4484,9583,if you’re too shy (let me know),the 1975
11,2932,4918,mama/show love,logic
12,2247,6736,home,edward sharpe & the magnetic zeros
13,4251,3275,wifi lit,future
14,4784,104,suge,dababy
15,4864,1208,water,ugly god
16,3810,2316,victoria’s secret,jax
17,849,5762,13 beaches,lana del rey
18,2624,10462,how you get the girl,ryan adams
19,487,10573,peaches n cream,snoop dogg
20,2574,8926,trauma,partynextdoor
21,2124,2119,hurt you,the weeknd
22,4929,2327,can't hold us,macklemore & ryan lewis
23,1191,1346,party in the u.s.a.,miley cyrus
24,2649,4146,the games we play,pusha t
25,2336,3531,flight's booked,drake
26,3047,6669,grownup christmas list,jordan smith
27,1007,3061,end of the day,one direction
28,2242,3886,so good (& metro boomin),big sean
29,2720,10220,all you had to do was stay,ryan adams
30,4876,741,youth,troye sivan
31,4712,9254,whiskey and you,chris stapleton
32,3122,9900,talk about love,zara larsson
33,1670,3568,weeeeee,trippie redd
34,2012,10590,cuddle up,catey shaw
35,1284,9868,bogus charms,rick ross
36,769,4312,never love again,eminem
37,4133,9016,time in,twenty88
38,832,9397,turnpike ike,rick ross
39,2828,6867,what’s crackin,pop smoke
40,4377,10723,sick in the head,the lumineers
41,2793,2033,level of concern,twenty one pilots
42,4033,882,tiimmy turner,desiigner
43,20,10116,parachute,chris stapleton
44,3975,6706,all of me,big gigantic
45,4729,5082,talk to me nice,lil yachty
46,2457,7005,for youth,bts
47,4098,7782,dumb blonde,avril lavigne
48,2256,2802,plain jane remix,a$ap ferg
49,4441,7352,main thing,ariana grande
50,1278,7724,you're gonna live forever in me,john mayer
51,3917,1811,b.s.,jhené aiko
52,2090,9530,forever world,lil yachty
53,1367,10420,smooth like the summer,thomas rhett
54,3055,8158,sinner's prayer,lady gaga
55,1723,6621,dis generation,a tribe called quest
56,4525,4352,christmas time,the platters
57,4591,6361,so it goes,mac miller
58,1346,1367,little freak,harry styles
59,3231,9405,groovy tony / eddie kane,schoolboy q
60,1910,794,drag me down,one direction
61,2598,7438,close to you,rihanna
62,4284,4834,10am/save the world,metro boomin
63,1359,6586,7 min freestyle,21 savage
64,3897,3073,wassup,logic
65,4323,5228,desire,juice wrld
66,4999,441,falling down  bonus track,lil peep
67,504,9831,whiskey sour,kane brown
68,3054,2133,numb numb juice,schoolboy q
69,3774,1273,sticky,drake
70,526,10196,big love,louis the child
71,637,1486,best on earth,russ
72,3053,1805,franchise,travis scott
73,76,3448,coming over,dillon francis
74,4439,8845,jet black,anderson .paak
75,2953,2725,dorothea,taylor swift
76,1861,8258,family don't matter,young thug
77,3503,11026,doo doo,troy ave
78,1512,6028,the life,fifth harmony
79,2906,3116,fairytale of new york,the pogues
80,1795,977,from the d to the a,tee grizzley
81,2327,10675,always be my baby,mariah carey
82,1131,4321,carter son,youngboy never broke again
83,3697,1635,blame it on me,post malone
84,177,10224,space cowboy,kacey musgraves
85,687,229,i took a pill in ibiza  seeb remix,mike posner
86,4236,3003,beat the odds,lil tjay
87,3389,10788,meanwhile back at mama's,tim mcgraw
88,139,6256,some things never change,kristen bell
89,1288,8148,outro,big sean
90,2849,6982,sorry,6lack
91,101,9460,no photos,don toliver
92,344,2596,get you the moon,kina
93,4973,7093,don't come back,tate mcrae
94,432,10977,i bet,ciara
95,308,6536,let's dance  1999 remaster,david bowie
96,148,5662,push my luck,the chainsmokers
97,27,2572,you only live twice,drake
98,3813,9429,flex,lil yachty
99,2444,3175,outlet,desiigner
100,3970,6754,real love,future
101,4180,9595,bad reputation,avicii
102,4395,3636,for real,lil uzi vert
103,373,63,happier,marshmello
104,4880,4009,love/hate letter to alcohol,post malone
105,2590,4222,it's beginning to look like christmas,bing crosby
106,2380,5701,palace,sam smith
107,828,7963,astronomy,conan gray
108,2393,2933,timber,pitbull
109,1952,560,jugaste y sufrí,eslabon armado
110,2476,2486,treacherous twins,drake
111,3432,6449,high on life,martin garrix
112,1030,5337,christian dior,jhay cortez
113,1726,7393,do better,gunna
114,4916,4166,state of grace (acoustic version) (taylor's version),taylor swift
115,1823,8211,we ball,meek mill
116,883,8830,what doesn’t kill me,kacey musgraves
117,3178,6692,tally,blackpink
118,2128,10736,one more night,maroon 5
119,4152,7677,queen,shawn mendes
120,1223,1904,que pretendes,j balvin
121,910,6196,immortal,trippie redd
122,3385,8103,molly girl,lil tecca
123,3937,1901,hawái  remix,maluma
124,804,10346,help!  remastered 2009,the beatles
125,850,6934,top shotta,pop smoke
126,4516,1813,love story (taylor’s version),taylor swift
127,136,10875,small town,john mellencamp
128,1020,5730,scrape,future
129,1319,7001,take a step back,ski mask the slump god
130,2981,5429,instant destiny,tame impala
131,2186,7190,freak,lana del rey
132,4131,2881,the heart part 5,kendrick lamar
133,2945,10481,dancing in the dark,imagine dragons
134,2146,4338,warriors,imagine dragons
135,2608,5722,sober ii (melodrama),lorde
136,737,49,going bad,meek mill
137,4156,10579,don't let it go,beck
138,779,8081,nocturnal,disclosure
139,2364,6197,ex,ty dolla $ign
140,1698,9730,walking away,chelsea cutler
141,1938,7791,let 'em talk,kesha
142,4346,10401,wishlist,kiiara
143,4366,7177,,daniel marcy
144,3544,7096,hit 'em up,a boogie wit da hoodie
145,2259,272,say so,doja cat
146,2712,6702,eazy  pray for me,g
147,4782,9471,can’t imagine,shawn mendes
148,1443,2358,ghost town,adam lambert
149,3671,8471,mileage,playboi carti
150,2846,4672,levitate,twenty one pilots
151,3115,7562,100 summers,meek mill
152,3894,754,unforgettable,thomas rhett
153,937,4870,love is only a feeling,joey bada$$
154,457,11071,waterfalls,tlc
155,3088,3069,drinking class,lee brice
156,3401,645,bang bang,jessie j
157,1453,10806,the right song,tiësto
158,1659,2427,omen,disclosure
159,2817,3749,landed,drake
160,3667,1997,for you (fifty shades freed) (& rita ora),liam payne
161,38,55,love. feat. zacari.,kendrick lamar
162,3202,10039,she's got a way with words,blake shelton
163,3352,5434,i got you (always and forever),chance the rapper
164,1916,8864,999,selena gomez
165,1005,9299,cold hearted ii,meek mill
166,2860,7802,starman  2012 remastered version,david bowie
167,3575,2990,ea,young nudy
168,2060,8175,things i imagined,solange
169,736,9539,hope  future,j
170,3295,8024,feel special,twice
171,3685,9365,dope boy's diary,tory lanez
172,362,8193,good time,niko moon
173,3952,1728,tip toe,jason derulo
174,642,5439,they afraid of you,trippie redd
175,4208,2973,the search,nf
176,2350,10720,the killing season,a tribe called quest
177,466,5777,wilder mind,mumford & sons
178,3893,260,positions,ariana grande
179,935,6801,something's gotta give,camila cabello
180,1781,736,all time low,jon bellion
181,2404,9321,s.o.t.l. (silence of the lambs),ludacris
182,4577,9534,one in a million,rex orange county
183,2166,8350,coolin and booted,kodak black
184,2403,6262,issues,baby keem
